Gender,LoanDuration,Age,Amount,DebtToIncome,Education,ExistingLiabilities,OccupationArea,default
1,12,38,319.5583,0,5,0,1,No
0,12,30,319.56,0,4,0,6,Yes
1,12,40,255.66,0,4,0,1,Yes
1,12,54,178.9532,0,4,0,11,Yes
1,12,31,319.5582,0,4,0,17,No
1,12,38,319.5588,0,5,0,7,No
1,12,41,319.5585,0,4,0,3,No
1,12,27,319.5581,0,4,0,1,No
1,12,54,255.6474,0,4,0,1,Yes
1,12,61,191.7355,0,1,0,7,No
1,12,46,319.5587,0,4,0,15,No
0,12,24,319.5584,0,5,0,10,No
0,12,24,319.5589,0,5,0,10,No
1,12,41,319.558,0,4,0,3,No
0,12,18,159.7797,0,4,0,1,No
0,24,38,319.4896,0,3,0,1,No
0,24,38,319.5785,0,3,0,1,No
1,24,30,255.6393,0,4,0,15,No
1,12,53,319.5587,0,4,0,19,No
0,12,39,300.3853,0,4,0,10,No
1,24,24,287.637,0,4,0,1,No
0,12,39,319.5585,0,4,0,10,No
1,24,43,63.9114,0,4,0,1,No
1,24,39,127.8163,0,4,0,12,No
1,12,57,319.558,0,4,0,7,No
1,12,51,319.558,0,4,0,17,No
1,24,35,319.5464,0,5,0,1,No
1,12,39,159.7791,0,4,0,12,No
0,24,21,319.4891,0,4,0,8,No
0,24,48,274.8446,0,5,0,1,No
1,24,51,319.4867,0,4,0,17,Yes
1,12,61,159.7795,0,1,0,7,No
0,24,21,281.1474,0,4,0,8,No
1,24,51,262.1088,0,4,0,1,No
0,12,25,287.6021,0,5,0,9,No
0,24,25,319.5264,0,5,0,11,No
1,12,46,319.5588,0,5,0,1,No
1,12,57,287.6028,0,4,0,7,Yes
1,12,31,178.9526,0,1,0,17,No
1,12,27,319.5667,0,4,0,1,Yes
1,12,19,89.4774,0,2,0,1,No
0,24,39,293.9967,0,2,0,1,No
1,12,19,274.8199,0,4,0,1,Yes
0,12,33,319.5583,0,5,0,1,No
0,12,33,319.5585,0,4,0,6,No
0,12,20,159.7792,0,3,0,10,No
1,12,42,242.8677,0,3,0,19,Yes
1,24,30,319.5643,0,4,0,1,Yes
1,24,34,159.7916,0,2,0,9,Yes
0,24,23,178.9735,0,4,0,8,No
1,24,30,319.565,0,4,0,1,Yes
1,24,61,127.8332,0,4,0,7,No
1,12,55,268.4394,0,5,0,16,Yes
0,24,48,198.1445,0,5,0,1,No
1,12,47,319.5582,0,4,0,16,Yes
0,24,31,319.5603,0,4,0,8,No
0,24,31,255.6379,0,4,0,8,No
0,24,23,204.5583,0,4,0,8,No
1,12,43,281.2111,0,3,0,1,No
1,24,37,319.5581,0,2,0,7,No
1,12,21,319.5581,0,4,0,1,No
1,12,21,319.558,0,4,0,1,No
1,12,43,319.5581,0,3,0,1,No
0,12,42,127.8231,0,5,0,6,No
1,24,34,319.5349,0,2,0,9,No
1,12,27,319.5519,0,4,0,1,Yes
1,24,22,319.5892,0,5,0,10,No
1,24,24,159.7415,0,4,0,7,No
1,24,23,319.5609,0,4,0,11,Yes
1,24,27,204.5168,0,5,0,1,No
1,24,31,185.3614,0,3,0,17,No
1,24,27,223.6905,0,5,0,1,No
1,12,32,127.8233,0,5,0,11,No
0,12,59,319.5586,0,2,0,1,No
0,12,59,319.5582,0,2,0,1,No
0,12,31,140.6061,0,4,0,3,No
0,12,25,319.5578,0,4,0,1,Yes
0,24,33,95.8672,0,2,0,6,Yes
1,12,19,274.8205,0,4,0,1,Yes
0,12,48,236.473,0,3,0,6,Yes
0,12,21,319.5581,0,4,0,10,No
1,24,44,223.6732,0,4,0,16,No
1,24,32,319.4444,0,5,0,10,Yes
0,12,25,242.8638,0,5,0,6,No
1,12,22,76.697,0,3,0,1,Yes
1,12,22,115.0424,0,3,0,1,Yes
1,24,43,102.2586,0,5,0,11,No
1,24,43,102.2586,0,5,0,11,No
0,12,30,319.558,0,4,0,10,No
1,12,24,63.92,0,3,0,11,Yes
1,12,23,31.9558,0,3,0,1,Yes
1,24,21,319.4709,0,4,0,9,No
1,12,51,191.7351,0,4,0,1,No
1,12,22,166.16,0,3,0,1,Yes
1,12,37,191.7353,0,4,0,1,No
1,12,20,300.3851,0,4,0,1,No
0,12,48,319.5588,0,3,0,7,No
0,12,25,319.5592,0,3,0,19,No
1,12,20,300.3849,0,4,0,1,No
0,12,25,223.6913,0,3,0,19,No
0,12,37,159.7793,0,4,0,1,No
0,24,49,319.5738,0,4,0,1,No
1,12,35,223.6913,0,2,0,13,No
0,12,20,159.7794,0,3,0,1,Yes
1,12,27,210.8995,0,2,0,1,Yes
1,12,52,102.262,0,2,0,19,No
0,24,33,319.6203,0,2,0,6,Yes
0,24,21,166.1702,0,3,0,1,Yes
0,12,18,51.1294,0,2,0,16,No
1,24,42,639.2234,0,4,0,1,No
0,12,28,639.1167,0,4,0,10,No
0,12,21,153.4003,0,3,0,1,Yes
0,12,23,223.6911,0,2,0,3,No
0,12,38,460.1464,0,3,0,3,No
0,12,18,191.72,0,3,0,9,Yes
0,12,48,236.4939,0,3,0,7,No
0,24,21,178.9661,0,4,0,3,Yes
0,12,27,332.3464,0,4,0,6,No
0,12,21,95.8845,0,3,0,1,Yes
0,12,22,319.5653,0,5,0,11,No
0,12,27,223.6851,0,4,0,6,Yes
1,12,39,63.9255,0,4,0,18,Yes
0,12,31,511.2933,0,5,0,10,No
1,12,21,153.3754,0,4,0,7,Yes
1,12,32,127.8236,0,5,0,17,No
1,24,46,31.9668,0,4,0,3,No
1,12,48,95.87,0,4,0,1,Yes
0,24,19,63.9252,0,1,0,1,Yes
1,12,36,447.381,0,5,0,16,No
0,24,45,31.9668,0,4,0,3,No
1,12,24,95.8671,0,3,0,3,No
0,12,48,83.082,0,3,0,7,No
0,12,49,319.5583,0,4,0,1,No
0,12,21,31.9524,0,3,0,1,Yes
1,12,52,511.2948,0,3,0,1,No
1,24,23,70.2953,0,4,0,11,Yes
1,12,32,95.8581,0,2,0,19,No
1,24,33,639.1166,0,4,0,1,No
0,24,36,217.3045,0,4,0,3,No
0,24,31,108.6653,0,4,0,6,No
1,24,58,31.9489,0,5,0,16,Yes
0,24,37,319.5583,0,4,0,8,No
0,12,28,319.5448,0,5,0,10,No
0,24,45,153.3852,0,4,0,3,No
0,24,36,255.6252,0,4,0,3,No
1,12,51,146.9939,0,4,0,1,No
0,24,21,319.5381,0,5,0,13,No
1,12,21,402.6435,0,4,0,7,Yes
1,24,20,511.4529,0,5,0,1,No
1,12,58,153.3835,0,5,0,16,Yes
1,24,46,134.1952,0,4,0,3,No
1,12,33,255.644,0,4,0,6,No
1,24,58,102.2717,0,5,0,16,Yes
0,12,31,127.8255,0,4,0,3,No
0,12,39,127.8087,0,4,0,10,No
1,24,39,166.185,0,4,0,1,No
0,24,33,127.8434,0,4,0,6,Yes
1,12,39,63.9114,0,4,0,18,Yes
0,12,31,287.5807,0,3,0,1,No
1,12,26,319.5655,0,5,0,1,No
1,12,24,44.7419,0,4,0,1,No
1,12,31,108.6378,0,4,0,16,No
1,12,25,76.6872,0,4,0,10,No
0,24,36,63.9139,0,2,0,8,Yes
0,12,24,639.1146,0,5,0,9,No
0,12,29,255.686,0,4,0,4,No
1,24,25,102.2932,0,4,0,14,Yes
0,12,43,127.8236,0,4,0,7,No
0,24,36,44.7,0,2,0,8,Yes
0,12,33,319.5552,0,5,0,10,No
1,12,48,447.4,0,4,0,7,Yes
0,24,21,319.5326,0,5,0,14,No
0,12,36,255.6531,0,2,0,1,Yes
0,24,36,38.33,0,2,0,8,Yes
0,12,40,639.1363,0,4,0,5,Yes
0,12,23,504.9091,0,2,0,6,No
1,24,40,166.1244,0,4,0,1,No
1,12,31,70.3,0,2,0,1,Yes
1,24,40,89.4454,0,4,0,1,No
1,24,50,428.25,0,4,0,3,Yes
1,12,23,166.1804,0,2,0,1,No
1,12,32,127.8273,0,5,0,11,No
1,12,48,511.2578,0,5,0,12,No
0,24,22,44.7262,0,4,0,3,No
1,12,25,587.9626,0,5,0,9,No
1,12,36,223.6745,0,2,0,13,No
0,12,26,31.9443,0,2,0,1,No
1,24,40,31.957,0,4,0,1,No
0,24,26,338.7711,0,2,0,3,Yes
1,12,23,351.5217,0,2,0,1,No
1,24,58,44.6969,0,5,0,16,Yes
0,12,48,70.3009,0,3,0,7,No
1,24,55,319.5818,0,3,0,9,Yes
0,12,26,159.7967,0,2,0,1,No
1,24,57,70.3055,0,3,0,7,Yes
0,12,38,255.6624,0,4,0,7,No
0,12,36,191.75,0,2,0,1,Yes
1,24,47,319.5333,0,3,0,16,Yes
1,24,31,31.957,0,4,0,7,No
0,24,30,38.347,0,2,0,14,Yes
1,24,50,511.3311,0,5,0,9,No
0,12,50,639.1333,0,4,0,3,No
1,12,32,115.0139,0,4,0,10,No
0,24,34,102.2666,0,2,0,7,No
1,12,28,223.7114,0,4,0,9,No
1,12,62,76.7074,0,4,0,7,No
0,24,22,31.9382,0,1,0,3,No
0,12,23,127.8485,0,4,0,8,No
1,24,32,389.8191,0,2,0,1,Yes
0,24,35,639.1107,0,4,0,19,No
0,12,24,31.955,0,4,0,13,No
0,12,27,319.579,0,5,0,11,No
1,24,44,127.8234,0,4,0,19,Yes
1,24,40,38.3478,0,4,0,1,No
0,12,31,127.8056,0,4,0,3,No
1,24,55,185.3364,0,2,0,1,No
1,24,34,31.952,0,4,0,1,Yes
1,12,40,31.9551,0,4,0,10,Yes
0,24,29,274.8024,0,5,0,18,No
0,24,34,31.9569,0,2,0,8,No
0,24,24,639.1247,0,5,0,1,No
1,24,55,178.9592,0,2,0,1,No
0,12,25,38.3389,0,4,0,6,Yes
1,24,33,319.4363,0,4,0,1,Yes
0,24,27,511.2633,0,3,0,8,No
0,24,46,639.1354,0,4,0,8,No
1,12,55,63.9043,0,3,0,9,No
1,12,54,51.13,0,3,0,14,Yes
0,24,31,639.1164,0,3,0,19,No
1,12,21,166.207,0,4,0,1,No
0,24,28,102.3083,0,3,0,6,Yes
0,24,29,223.7015,0,5,0,18,No
1,24,33,140.5999,0,4,0,1,Yes
1,12,30,83.1037,0,4,0,1,Yes
0,24,22,127.8241,0,4,0,4,No
1,24,50,639.2234,0,4,0,1,Yes
1,12,44,639.0881,0,5,0,10,No
1,12,51,639.122,0,4,0,19,No
0,24,34,70.3297,0,2,0,8,No
1,12,26,44.7426,0,4,0,1,No
0,24,24,383.4158,0,5,0,1,No
1,24,23,396.2736,0,4,0,1,Yes
1,12,43,44.7467,0,4,0,18,Yes
0,12,35,447.3793,0,4,0,13,No
1,12,27,191.75,0,4,0,1,Yes
0,12,23,319.5688,0,4,0,18,No
0,12,32,639.0723,0,5,0,7,Yes
0,24,27,127.7751,0,4,0,8,No
1,24,26,63.8641,0,4,0,1,Yes
0,24,37,319.5583,0,4,0,8,No
0,12,47,294.0115,0,4,0,15,Yes
0,12,28,639.1989,0,3,0,15,No
1,12,21,319.4904,0,2,0,10,Yes
0,12,31,639.1128,0,4,0,8,No
1,24,56,639.1924,0,5,0,17,Yes
1,12,42,319.5733,0,4,0,17,No
1,24,32,230.1476,0,4,0,10,No
0,12,22,146.96,0,3,0,9,Yes
1,24,26,38.3392,0,4,0,1,Yes
1,12,43,172.5739,0,4,0,18,Yes
1,24,26,153.341,0,4,0,1,Yes
0,12,21,191.7591,0,4,0,1,No
1,12,47,415.4294,0,5,0,16,No
1,12,38,536.7946,0,4,0,16,Yes
1,12,39,76.7,0,4,0,18,Yes
1,12,24,415.4086,0,4,0,9,Yes
1,24,28,319.5638,0,3,0,1,Yes
0,24,30,639.0951,0,4,0,1,Yes
1,12,28,543.2306,0,5,0,7,Yes
0,12,31,134.2153,0,4,0,3,No
0,12,22,51.14,0,3,0,9,Yes
0,24,23,191.7527,0,4,0,1,Yes
1,24,32,639.1176,0,3,0,1,No
1,12,44,44.7381,0,4,0,19,Yes
1,12,34,639.1054,0,5,0,16,Yes
1,24,51,639.1422,0,5,3,16,Yes
0,24,24,185.2758,0,3,1,9,Yes
1,12,27,639.1251,0,4,0,1,No
1,12,47,639.1167,0,4,2,15,No
1,12,26,383.4646,0,2,0,9,No
0,24,27,472.8889,0,4,2,8,Yes
1,12,43,639.1218,0,5,1,1,No
1,24,51,191.7123,0,4,1,17,Yes
1,12,52,127.8241,0,4,2,19,No
0,24,24,166.153,0,3,1,9,Yes
0,24,28,57.5096,0,2,1,1,Yes
1,12,62,31.9531,0,4,1,7,No
0,12,31,51.0728,0,5,1,17,Yes
0,12,27,166.1756,0,3,3,8,No
1,12,29,319.5433,0,5,0,1,Yes
0,12,32,639.0879,0,4,1,3,No
1,12,21,191.7091,0,5,0,18,Yes
0,24,42,441.0892,0,4,1,6,Yes
1,12,35,492.1094,0,4,0,11,No
0,12,23,319.5953,0,4,0,1,Yes
1,12,32,447.3787,0,5,0,16,Yes
0,12,33,383.4613,0,4,3,7,No
0,12,31,95.8264,0,5,1,17,Yes
0,12,54,134.2328,0,4,1,1,No
1,12,32,319.5757,0,4,2,15,No
1,24,24,89.4836,0,4,1,3,No
1,24,29,172.5416,0,5,1,13,No
1,12,26,319.56,0,3,0,1,Yes
0,12,22,262.0372,0,4,1,10,No
0,12,33,223.7503,0,4,4,7,No
0,12,0,639.13,0,0,1,0,Yes
1,12,53,70.2859,0,4,0,7,No
0,24,40,146.9755,0,5,0,15,No
1,24,56,319.6106,0,5,1,3,No
0,12,34,287.6019,0,4,1,6,No
0,12,27,639.1077,0,3,1,1,No
0,12,23,639.1169,0,4,0,7,No
0,12,22,383.398,0,3,1,10,No
1,24,27,639.0874,0,4,1,1,No
0,24,28,140.591,0,2,1,7,Yes
0,24,33,338.7978,0,4,4,10,No
1,24,62,121.422,0,4,1,7,No
0,24,21,147.0214,0,4,1,8,No
1,12,38,319.5589,0,2,0,7,No
1,12,33,121.4281,0,5,2,17,No
1,12,31,639.1456,0,5,4,1,Yes
1,12,27,638.9596,0,2,1,1,No
0,24,34,639.1495,0,4,0,3,Yes
1,12,30,639.082,0,5,3,1,Yes
1,24,28,415.4547,0,4,1,1,Yes
0,12,0,651.88,0,0,1,0,Yes
0,12,25,63.8365,0,3,0,1,Yes
0,24,40,242.8408,0,4,2,1,No
0,12,0,958.66,0,0,1,0,Yes
0,12,22,63.9171,0,4,1,3,Yes
0,24,38,543.2706,0,5,1,15,No
0,12,25,121.4297,0,3,0,1,Yes
0,12,24,313.1238,0,2,3,1,No
0,12,45,178.986,0,4,0,3,No
0,12,25,153.3758,0,3,0,1,Yes
1,24,43,217.3127,0,5,1,11,Yes
0,12,24,191.7709,0,2,3,1,No
0,12,38,639.0655,0,4,2,7,Yes
1,12,24,351.5013,0,2,5,1,No
0,12,27,127.8152,0,4,2,9,No
0,24,27,319.5331,0,1,1,4,No
1,12,58,217.2999,0,4,2,7,Yes
0,24,27,319.565,0,1,1,4,No
1,12,33,127.8737,0,5,2,17,No
0,24,27,639.1438,0,2,0,6,No
0,12,39,287.6085,0,4,4,10,No
1,24,43,293.9151,0,5,1,11,Yes
0,12,31,63.8978,0,5,1,17,Yes
1,12,23,191.735,0,4,0,1,No
1,24,30,383.4107,0,5,1,1,No
0,12,26,287.6124,0,3,1,1,No
1,12,77,511.287,0,3,0,1,Yes
0,12,50,639.1104,0,4,2,8,No
1,12,29,255.6325,0,3,0,1,Yes
1,12,43,639.1039,0,5,1,1,No
1,24,45,639.186,0,4,1,3,No
0,24,26,178.925,0,2,2,3,Yes
1,24,26,319.5873,0,2,1,3,Yes
1,12,24,127.8406,0,3,1,9,Yes
1,12,35,639.1162,0,4,1,7,No
1,12,77,95.8764,0,3,1,1,Yes
0,12,46,415.394,0,4,2,15,No
1,24,23,319.6016,0,4,2,1,No
1,24,44,236.5145,0,5,2,16,No
1,24,41,447.4392,0,4,2,7,No
0,24,27,638.9676,0,3,1,3,Yes
1,24,23,447.3101,0,4,0,16,Yes
1,24,31,447.5364,0,3,0,1,No
1,24,38,383.4773,0,4,1,11,No
1,12,21,242.8631,0,2,0,3,No
0,12,30,402.6013,0,4,1,7,No
0,12,37,639.1162,0,1,4,3,No
0,24,68,383.4995,0,4,0,1,No
1,12,45,255.6116,0,5,1,16,No
1,24,43,102.254,0,5,1,11,Yes
1,24,38,377.1434,0,1,1,7,Yes
1,24,62,127.806,0,1,1,7,No
0,24,28,447.3781,0,4,3,1,No
1,12,42,236.457,0,4,4,3,Yes
1,24,29,639.116,0,4,0,8,No
1,24,39,639.0503,0,4,1,7,No
0,12,31,115.0488,0,4,1,3,No
0,12,32,217.2878,0,4,1,1,No
1,12,29,575.1788,0,2,2,3,No
1,24,55,575.0746,0,3,0,3,No
0,24,27,51.121,0,4,3,3,No
1,24,31,639.0555,0,4,1,1,No
0,12,49,319.5619,0,3,1,6,Yes
0,12,60,639.261,0,5,1,10,No
0,12,23,63.9025,0,4,0,9,No
1,12,33,447.3411,0,4,2,6,No
0,24,35,396.3541,0,4,2,1,No
1,12,38,223.6988,0,4,1,11,No
1,24,29,639.1492,0,4,2,9,No
1,12,27,639.1358,0,5,2,11,No
1,12,22,223.7072,0,4,0,9,No
0,24,34,178.96190000000001,0,4,2,12,No
1,12,31,140.6312,0,4,1,1,Yes
1,12,24,575.1904,0,4,1,3,No
0,12,37,639.226,0,5,0,9,No
0,12,23,127.8218,0,4,0,9,No
0,12,39,319.5552,0,4,1,18,Yes
0,24,41,319.6205,0,4,1,1,Yes
1,12,62,57.5302,0,4,1,7,No
0,12,23,191.7582,0,4,3,8,No
1,24,43,639.114,0,4,1,11,No
0,12,40,146.9927,0,4,4,10,No
1,24,58,639.1785,0,3,1,8,No
0,24,38,115.041,0,4,2,15,No
1,24,21,639.2094,0,4,0,3,No
0,12,22,51.1489,0,4,1,3,Yes
1,12,29,383.461,0,4,1,3,No
1,12,37,415.4186,0,4,1,19,Yes
0,24,22,319.5813,0,4,2,1,No
1,24,55,639.2416,0,4,1,1,Yes
1,12,41,191.7191,0,4,3,7,No
1,12,38,639.0854,0,5,1,7,Yes
0,12,28,287.6963,0,4,0,1,Yes
1,24,44,639.1737,0,4,0,3,No
1,24,35,575.1704,0,3,0,1,Yes
1,24,26,460.1229,0,5,2,19,No
1,12,32,351.5775,0,2,0,3,No
1,12,32,319.6402,0,4,2,15,No
0,12,37,575.2439,0,4,3,16,No
1,12,55,127.8477,0,1,1,9,Yes
1,12,33,146.9933,0,4,2,1,No
0,24,37,575.1419,0,4,2,15,No
1,12,30,447.3376,0,2,1,7,Yes
0,12,30,255.6887,0,4,1,8,No
0,12,32,255.72,0,4,2,9,Yes
1,24,32,639.0534,0,5,0,8,Yes
1,12,26,127.8289,0,4,2,7,No
0,12,28,95.8826,0,3,0,1,Yes
1,12,30,127.8198,0,4,0,1,No
1,12,54,511.3831,0,5,2,16,No
1,24,40,639.1654,0,4,1,15,No
0,12,34,575.3049,0,4,1,7,No
1,24,35,63.9174,0,4,0,1,Yes
1,24,56,319.4664,0,5,1,3,No
0,12,34,351.4933,0,4,2,6,No
1,12,30,159.8924,0,4,3,16,Yes
0,12,37,383.47,0,2,0,4,No
1,24,28,364.2359,0,3,1,15,Yes
0,24,21,511.2766,0,5,3,1,Yes
1,12,62,51.1493,0,4,1,7,No
1,12,46,319.5795,0,4,0,14,No
1,12,34,95.8884,0,5,1,16,No
0,12,31,127.8319,0,4,1,1,No
1,12,43,319.5279,0,4,4,3,Yes
0,12,22,51.1274,0,4,1,3,Yes
0,12,40,166.1903,0,2,4,1,No
0,24,32,639.0624,0,4,0,4,Yes
1,24,36,639.1258,0,4,3,7,Yes
1,24,52,236.4946,0,4,1,17,Yes
1,12,27,639.1162,0,5,2,1,No
0,12,21,127.8124,0,5,4,1,Yes
1,24,50,639.2574,0,4,0,1,Yes
1,24,44,639.1463,0,3,0,1,No
1,12,25,639.2278,0,5,0,9,Yes
0,24,44,639.1856,0,2,1,3,Yes
1,24,60,639.2676,0,4,1,7,Yes
1,12,34,127.8407,0,5,2,16,No
1,24,56,639.1546,0,4,1,17,No
0,12,28,115.0673,0,4,0,4,Yes
1,12,27,639.1561,0,3,0,17,Yes
1,24,54,370.7212,0,4,1,19,No
0,24,48,638.96,0,3,0,19,Yes
1,24,21,383.4543,0,4,4,1,No
1,12,24,172.6002,0,2,4,1,Yes
1,24,62,63.891,0,4,1,7,No
0,24,40,415.4057,0,4,2,1,No
1,12,56,51.1517,0,3,1,9,Yes
0,12,24,562.4047,0,5,0,6,Yes
0,24,38,1917.2475,0,4,2,8,Yes
